,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-07,302.43846825324,442.47305104508996,577.6648472994566,752.368488162756,977.3018290847536,3114,100.0,0.0,81.2005464874385,27.6900403293176,9.56671400753533,3.26232652545855
1,2024-01-14,319.7814910952002,463.5309069417417,603.604120016098,766.105535812676,1068.9866892248385,3114,100.0,0.0,87.3743599854601,27.6568329336038,10.2940872904303,3.25841416684188
2,2024-01-21,294.6876921970397,470.5035386607051,634.3047801405191,788.1219053640962,1084.0172528102992,3114,100.0,0.0,100.184505572577,28.0449468974689,11.8033258919932,3.30414015583141
3,2024-01-28,310.65847661346197,439.228717982769,577.9362488538027,735.3604808449745,993.862719852477,3114,100.0,0.0,129.039718230945,40.5411681731892,15.2029282231415,4.77639348774942
4,2024-02-04,282.2300540469587,356.465024407953,460.9771881252527,581.417160667479,779.4724272936583,3114,100.0,0.0,144.04342750593,44.9956017962102,16.9706034654281,5.30119651408845
5,2024-02-11,287.7309121005237,424.06367054209113,531.5516572445631,663.2686115801334,826.3293023407458,3114,100.0,0.0,160.266169721394,48.1335976887132,18.8819001488479,5.67090226803976
6,2024-02-18,288.46729850396514,400.7703201845288,516.5979083627462,627.9255487024784,864.6656901016829,3114,100.0,0.0,167.590139429167,44.4998460534775,19.7447801000925,5.24278861397597
7,2024-02-25,259.54239311628044,348.99436701089144,471.8589425086975,591.1666331812739,753.7304636836051,3114,100.0,0.0,205.458659175072,49.0319243655944,24.2062931559661,5.7767394178475
8,2024-03-03,243.9659274648875,339.2553126439452,415.86288940161467,481.3812170177698,673.1746108643711,3114,74.0,0.0,343.540066008351,81.1675998869534,40.4744758970326,9.56283237473856
9,2024-03-10,242.9865002632141,327.88918064907193,402.70725674927235,506.0479748994112,615.43207610026,3114,47.0,0.0,422.992522719037,90.561006749282,49.8352371656135,10.6695248896987
