,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2010-01-03,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0,0,0.0,0,0,0.0,0.0,23.333333333333332,28.333333333333332,66.33333333333333,1009.0
2010-01-10,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714,1,1.0,1,1,0.0,0.27381358,24.714285714285715,29.714285714285715,59.57142857142857,1009.4285714285714
2010-01-17,1,1.0,1,1,0.0,2.046287,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857,2,2.0,2,2,0.0,0.54762715,25.142857142857142,30.571428571428573,58.142857142857146,1010.7142857142857
2010-01-24,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0,0,0.0,0,0,0.0,0.0,24.714285714285715,30.857142857142858,54.142857142857146,1009.0
2010-01-31,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429,0,0.0,0,0,0.0,0.0,24.714285714285715,30.571428571428573,61.42857142857143,1007.8571428571429
2010-02-07,0,0.0,0,0,0.0,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.428571428571427,31.428571428571427,55.714285714285715,1008.7142857142857
2010-02-14,0,0.0,0,0,0.0,0.0,24.857142857142858,30.428571428571427,63.0,1007.5714285714286,1,1.0,1,1,0.8910605,0.27381358,24.857142857142858,30.428571428571427,63.0,1007.5714285714286
2010-02-21,0,0.0,0,0,0.0,0.0,25.0,30.857142857142858,59.857142857142854,1009.0,0,0.0,0,0,0.0,0.0,25.0,30.857142857142858,59.857142857142854,1009.0
2010-02-28,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857,1,1.0,1,1,0.7304197,0.27381358,25.857142857142858,31.285714285714285,57.142857142857146,1008.7142857142857
2010-03-07,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857,0,0.0,0,0,0.0,0.0,25.857142857142858,31.285714285714285,55.714285714285715,1008.7142857142857
2010-03-14,0,0.0,0,0,0.0,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429,0,0.0,0,0,0.0,0.0,26.428571428571427,31.285714285714285,54.57142857142857,1008.8571428571429
2010-03-21,0,0.0,0,0,0.0,0.0,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857,2,2.0,2,2,0.92080367,0.54762715,25.142857142857142,30.571428571428573,57.714285714285715,866.7142857142857
